    4096 ,      8 ,      38.92,     5.00 ,     6.99
    4096 ,     32 ,      40.45,     5.00 ,     6.99
    4096 ,     64 ,      38.95,     5.00 ,     6.99
    4096 ,    128 ,      49.18,     5.00 ,     6.99
    4096 ,    256 ,      47.39,     5.00 ,     6.99
   16384 ,      8 ,     211.26,     5.00 ,     7.00
   16384 ,     32 ,     176.63,     5.00 ,     7.00
   16384 ,     64 ,     217.70,     5.00 ,     7.00
   16384 ,    128 ,     264.95,     5.00 ,     7.00
   16384 ,    256 ,     197.35,     5.00 ,     7.00
   65536 ,      8 ,     187.74,     5.00 ,     7.00
   65536 ,     32 ,     194.14,     5.00 ,     7.00
   65536 ,     64 ,     190.51,     5.00 ,     7.00
   65536 ,    128 ,     187.92,     5.00 ,     7.00
   65536 ,    256 ,     182.20,     5.00 ,     7.00
  262144 ,      8 ,     261.19,     5.00 ,     7.00
  262144 ,     32 ,     426.95,     5.00 ,     7.00
  262144 ,     64 ,     369.65,     5.00 ,     7.00
  262144 ,    128 ,     464.15,     5.00 ,     7.00
  262144 ,    256 ,     418.23,     5.00 ,     7.00
 1048576 ,      8 ,    1099.64,     5.00 ,     7.00
 1048576 ,     32 ,    1397.51,     5.00 ,     7.00
 1048576 ,     64 ,    1658.63,     5.00 ,     7.00
 1048576 ,    128 ,    1332.25,     5.00 ,     7.00
 1048576 ,    256 ,    1234.33,     5.00 ,     7.00
 4194304 ,      8 ,    1983.08,     5.01 ,     7.00
 4194304 ,     32 ,    2711.06,     5.01 ,     7.00
 4194304 ,     64 ,    4139.31,     5.01 ,     7.00
 4194304 ,    128 ,    4065.39,     5.01 ,     7.00
 4194304 ,    256 ,    4020.27,     5.01 ,     7.00
